,item,commod,sell_price,demand,system,ly,station,ls,faction,allegiance,state,margin,supply
1,Basic Medicines,33,2719,9365007,31 Aquilae,25.2815010803354,Isherwood Gateway,5460,31 Aquilae Blue State Org,Federation,Boom,2396,10293
2,Synthetic Meat,20,2376,25050,Volungu,16.8281177460523,Cabrera Horizons,18,Volungu Gang,Independent,Famine,2136,43437
3,Synthetic Meat,20,2376,25050,Volungu,16.8281177460523,Cabrera Horizons,18,Volungu Gang,Independent,Famine,2136,43437
4,Synthetic Meat,20,2376,25050,Volungu,16.8281177460523,Cabrera Horizons,18,Volungu Gang,Independent,Famine,2136,43437
5,Military Grade Fabrics,304,3221,9120,BD-17 6172,24.9234962246973,Deslandres Survey,169183,BD-17 6172 Universal Industry,Empire,Boom,2267,304
6,Military Grade Fabrics,304,3214,9120,BD-17 6172,24.9234962246973,Deslandres Survey,169182,BD-17 6172 Universal Industry,Empire,Boom,2260,304
7,Military Grade Fabrics,304,3214,9120,BD-17 6172,24.9234962246973,Deslandres Survey,169182,BD-17 6172 Universal Industry,Empire,Boom,2260,304
8,Military Grade Fabrics,304,3214,9120,BD-17 6172,24.9234962246973,Deslandres Survey,169182,BD-17 6172 Universal Industry,Empire,Boom,2260,304
9,Military Grade Fabrics,304,4213,6060,Gliese 875,21.6563627341943,Alexandria Silo,418,Confederation of Gliese 875,Federation,Boom,3259,304
10,Military Grade Fabrics,304,4213,6060,Gliese 875,21.6563627341943,Alexandria Silo,416,Confederation of Gliese 875,Federation,Boom,3590,2531
11,Military Grade Fabrics,304,4213,6060,Gliese 875,21.6563627341943,Alexandria Silo,416,Confederation of Gliese 875,Federation,Boom,2344,4528
12,Military Grade Fabrics,304,4213,6060,Gliese 875,21.6563627341943,Alexandria Silo,416,Confederation of Gliese 875,Federation,Boom,2344,4528
13,Military Grade Fabrics,304,4166,5949,Gliese 875,21.6563627341943,Alexandria Silo,405,Confederation of Gliese 875,Federation,Boom,3212,304
14,Military Grade Fabrics,304,4213,6060,Gliese 875,21.6563627341943,Alexandria Silo,404,Confederation of Gliese 875,Federation,Boom,3259,304
15,Military Grade Fabrics,304,4213,6060,Gliese 875,21.6563627341943,Alexandria Silo,404,Confederation of Gliese 875,Federation,Boom,3269,304
16,Military Grade Fabrics,304,4213,6060,Gliese 875,21.6563627341943,Alexandria Silo,401,Confederation of Gliese 875,Federation,Boom,3590,2531
17,Military Grade Fabrics,304,4152,6060,Gliese 875,21.6563627341943,Alexandria Silo,400,Confederation of Gliese 875,Federation,Boom,2283,4528
18,Military Grade Fabrics,304,4213,6060,Gliese 875,21.6563627341943,Alexandria Silo,400,Confederation of Gliese 875,Federation,Boom,2344,4528
19,Military Grade Fabrics,304,4213,6060,Gliese 875,21.6563627341943,Alexandria Silo,400,Confederation of Gliese 875,Federation,Boom,2344,4528
20,Basic Medicines,33,4447,9763703,31 Aquilae,25.2815010803354,Russo Dock,5157,31 Aquilae Blue State Org,Federation,Outbreak,4192,18351
21,Basic Medicines,33,4447,9763703,31 Aquilae,25.2815010803354,Russo Dock,5161,31 Aquilae Blue State Org,Federation,Outbreak,4192,18351
22,Basic Medicines,33,4447,9763703,31 Aquilae,25.2815010803354,Russo Dock,5166,31 Aquilae Blue State Org,Federation,Boom,4065,5130
23,Military Grade Fabrics,304,4213,6060,Gliese 875,21.6563627341943,Alexandria Silo,407,Confederation of Gliese 875,Federation,Boom,3431,1266
24,Basic Medicines,33,4447,6042140,Lalande 39866,18.0136937928483,Goddard City,208,Progressive Party of Lalande 39866,Federation,Outbreak,4065,5130
25,Basic Medicines,33,4447,6041756,Lalande 39866,18.0136937928483,Goddard City,208,Progressive Party of Lalande 39866,Federation,Outbreak,4126,10260
26,Basic Medicines,33,4447,6042140,Lalande 39866,18.0136937928483,Goddard City,208,Progressive Party of Lalande 39866,Federation,Outbreak,4198,18173
27,Basic Medicines,33,4447,6042140,Lalande 39866,18.0136937928483,Goddard City,208,Progressive Party of Lalande 39866,Federation,Outbreak,4198,18173
28,Basic Medicines,33,4447,5732043,Lalande 39866,18.0136937928483,Jernigan Orbital,5617,Progressive Party of Lalande 39866,Federation,None,4198,18173
29,Military Grade Fabrics,304,4013,14632,Wolf 906,0.0,Rice Hub,500,Values Party of Wolf 906,Federation,Boom,2144,4528
30,Military Grade Fabrics,304,4013,14632,Wolf 906,0.0,Rice Hub,500,Values Party of Wolf 906,Federation,War,3059,304
31,Military Grade Fabrics,304,4213,6060,Gliese 875,21.6563627341943,Alexandria Silo,425,Confederation of Gliese 875,Federation,Boom,3259,304
